repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
0556heqing/nosql-jdk,org.neo4j+neo4j-filename:pom.xml,master,0,0,257,257,328
0574MisterXu/spring-boot-2.0.0.RELEASE,org.neo4j+neo4j-filename:pom.xml & org.neo4j.doc+neo4j-filename:pom.xml,master,0,0,293,293,293
0868307/Dev5Practicum,org.neo4j+neo4j-filename:pom.xml,dev,0,0,1679,1678,1682
0868307/ReceptApi,org.neo4j+neo4j-filename:pom.xml,master,0,0,1277,1277,1277
0868307/RuleEngine,org.neo4j+neo4j-filename:pom.xml,master,0,0,1095,1085,1140
0cmg/javaee7-samples,org.neo4j+neo4j-filename:pom.xml,master,0,0,777,777,777
0Kate/Bee2.0,org.neo4j+neo4j-filename:pom.xml,master,0,0,111,111,202
0x486F626F/neo4j-3.0.6,org.neo4j.doc+neo4j-cypher-docs-parent-filename:pom.xml & org.neo4j+neo4j-cypher-docs-filename:pom.xml & org.neo4j+neo4j-cypher-acceptance-filename:pom.xml & org.neo4j.doc+neo4j-graphgist-filename:pom.xml & org.neo4j.doc+neo4j-cypher-docs-filename:pom.xml & org.neo4j+neo4j-cypher-commons-filename:pom.xml & org.neo4j.doc+neo4j-cypher-refcard-tests-filename:pom.xml & org.neo4j+cypher-parent-filename:pom.xml & org.neo4j+neo4j-filename:build.xml & org.neo4j.doc+neo4j-filename:pom.xml & org.neo4j+neo4j-cypher-compatibility-suite-filename:pom.xml & org.neo4j+cypher-filename:pom.xml & org.neo4j+neo4j-filename:pom.xml & org.neo4j.doc+neo4j-cypher-refcard-filename:pom.xml & org.neo4j+neo4j-cypher-filename:pom.xml,master,0,0,976,838,976
0xCAB/obsearch,org.neo4j+neo4j-filename:pom.xml,master,0,0,1225,1225,1225
100rbh/TrafficHorn,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,1376,1376,1376
1030907690/spring-boot-2.0.4.RELEASE,org.neo4j+neo4j-filename:pom.xml & org.neo4j.doc+neo4j-filename:pom.xml,master,0,0,6,6,149
1060905996/manage,org.neo4j+neo4j-filename:pom.xml,master,0,0,3,3,379
1149857077/neo4j-backend,org.neo4j+neo4j-filename:pom.xml,master,0,0,142,142,145
1151738113/NLP-Test,org.neo4j+neo4j-filename:pom.xml,master,0,0,10,10,322
1200953/FIT5171_Assg2,org.neo4j+neo4j-filename:pom.xml,master,0,0,65,65,65
120591516/jphs-parent20171127,org.neo4j+neo4j-filename:pom.xml,master,0,1,562,621,688
120591516/statistics-parent,org.neo4j+neo4j-filename:pom.xml,master,0,1,716,540,736
13001090108/study,org.neo4j+neo4j-extension:gradle,master,0,0,142,142,146
13567370952/mce-spring-cloud-event-sourcing-example,org.neo4j+neo4j-filename:pom.xml,master,1,1,85,539,541
13567370952/mce-spring-cloud-event-sourcing-example-auth,org.neo4j+neo4j-filename:pom.xml,master,0,0,539,539,539
13576260518/neo4j-java-client,org.neo4j+neo4j-filename:pom.xml,master,0,0,67,67,68
1357752076/demo,org.neo4j+neo4j-filename:pom.xml,master,0,0,326,326,326
13738168010/test,org.neo4j+neo4j-filename:pom.xml,1.9,0,0,729,729,729
13yo/MIS-DBMaster-Nodes,org.neo4j+neo4j-filename:pom.xml,master,1,0,1988,2996,2996
13yo/MPI-MIS-SearchIndex-Tree,org.neo4j+neo4j-filename:pom.xml,master,1,0,2010,2925,3073
14110145/Upload,org.neo4j+neo4j-filename:pom.xml,master,0,0,446,789,789
1445103710/spring-study,org.neo4j+neo4j-filename:pom.xml,master,0,0,91,91,282
1552738/NeoRelation,org.neo4j+neo4j-filename:pom.xml,master,0,0,353,353,357
158295002/springWeb,org.neo4j+neo4j-filename:pom.xml,master,0,0,454,454,454
163yun/cloud-native-app-sample,org.neo4j+neo4j-filename:pom.xml,master,11,3,38,916,917
1890/SpringFrame,org.neo4j+neo4j-extension:gradle,master,0,1,720,720,720
