repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
0226daniel/Luna-ARAI,com.amazonaws+aws-android-sdk-appsync-gradle-plugin-extension:gradle & com.amazonaws+aws-android-sdk-appsync-extension:gradle,master,0,0,10,10,11
0MasterShifu0/Project,com.graphql-java-kickstart+graphql-spring-boot-starter-extension:gradle & com.graphql-java-kickstart+graphiql-spring-boot-starter-extension:gradle & com.graphql-java-kickstart+graphql-extension:gradle,master,0,0,97,97,136
0x7374657665/spring-graphql,com.graphql-java-kickstart+graphql-spring-boot-starter-filename:pom.xml & com.graphql-java-kickstart+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java-kickstart+graphql-filename:pom.xml,master,0,1,183,183,191
0xAliHn/GraphQL_Demo,com.apollographql.apollo+apollo-extension:gradle & com.apollographql.android+gradle-plugin-extension:gradle & com.apollographql.apollo+apollo-android-support-extension:gradle & com.apollographql.apollo+apollo-rx2-support-extension:gradle,master,0,0,454,454,454
100milliongold/graphql-test,io.leangen.graphql+spqr-filename:pom.xml,master,0,0,117,117,118
1156054203/Nextflow,grape+grape-extension:gradle,master,0,0,329,329,329
15130140362/webChat,grape+grape-filename:pom.xml,master,0,0,387,387,387
181221/spring-boot-graphql,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml,master,0,0,101,101,101
18601105586/springbootdemo,graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphql-java-filename:pom.xml & com.graphql-java+graphiql-spring-boot-starter-filename:pom.xml & com.graphql-java+graphql-spring-boot-starter-filename:pom.xml,master,0,0,14,14,1008
18782086364/fizzBuzzWhizz,com.graphql-java+graphql-java-extension:gradle & com.graphql-java+voyager-spring-boot-starter-extension:gradle & com.graphql-java+graphiql-spring-boot-starter-extension:gradle & graphql-java+graphql-java-extension:gradle,master,0,0,289,289,295
