repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
101companies/101dev,com.tinkerpop.gremlin+gremlin-groovy-filename:pom.xml & com.tinkerpop+gremlin-groovy-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-groovy-filename:pom.xml,master,2,3,312,1497,2759
101companies/101wiki,com.tinkerpop.gremlin+gremlin-groovy-filename:pom.xml & com.tinkerpop+gremlin-groovy-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-groovy-filename:pom.xml,master,0,1,2071,2227,2457
12482/Titan-Json,org.apache.tinkerpop+tinkergraph-gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop+tinkergraph-gremlin-filename:pom.xml,master,0,0,551,551,551
434480761/develop,com.tinkerpop+gremlin-driver-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,1,1,281,951,951
434480761/wisdom_knowledge,com.tinkerpop+gremlin-driver-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,0,1,893,888,893
a-j/graphql-neptune,com.tinkerpop+gremlin-driver-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,1,0,332,427,449
abhiTW/comfox-indexer,org.apache.tinkerpop+gremlin-extension:gradle & com.tinkerpop+gremlin-extension:gradle & com.tinkerpop.gremlin+gremlin-extension:gradle & com.tinkerpop.gremlin+gremlin-java-extension:gradle,master,0,0,1112,1112,1112
acs254/JanusGraphFactory,com.tinkerpop+gremlin-core-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-core-filename:pom.xml,master,0,0,728,728,728
adperezmorales/gsoc-freebase-disambiguation-engine,com.tinkerpop.gremlin+gremlin-java-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml,master,4,0,1251,2093,2098
adperezmorales/gsoc-freebase-graph-importer,com.tinkerpop.gremlin+gremlin-java-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & com.tinkerpop.gremlin+gremlin-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml,master,14,8,151,1954,2148
aelmanaa/graph-server-test,com.tinkerpop+gremlin-server-filename:pom.xml & com.tinkerpop+gremlin-driver-filename:pom.xml & org.apache.tinkerpop+gremlin-server-filename:pom.xml & com.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-filename:pom.xml & org.apache.tinkerpop+gremlin-driver-filename:pom.xml,master,0,0,829,829,829
