repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
09oguri/LOD-app,org.apache.jena+jena-filename:build.xml,master,0,0,1689,1673,1689
0xDFDFDF/owl2wiki,org.apache.jena+jena-filename:pom.xml,master,0,0,380,380,1911
101companies/101dev,org.openrdf.sesame+sesame-filename:pom.xml,master,2,3,312,1497,2759
101companies/101wiki,org.openrdf.sesame+sesame-filename:pom.xml,master,0,1,2071,2227,2457
110Sw1t/OntologyProject,org.openrdf.sesame+sesame-filename:pom.xml,master,1,0,152,392,392
13926975369/yj,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,0,0,2,2,308
1995parham/RoadToMSc,org.apache.jena+jena-filename:pom.xml,master,10,0,62,62,562
20Free/TheJobSeekr-API,org.apache.jena+jena-text-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,0,0,176,176,176
256443/Rent-a-Car,org.openrdf.sesame+sesame-filename:pom.xml,master,0,0,155,155,180
2kouros/O-MI-O-DF-automatic-generation,org.apache.jena+jena-filename:pom.xml,master,0,0,259,259,302
3-Round-Stones/callimachus,org.openrdf.sesame+sesame-filename:build.xml,master,87,26,113,972,1976
373minami373/JenaOwl1,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml,master,0,0,2116,2374,2375
3cixty/querymanager,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,1,0,659,492,1909
422256579/ril,org.eclipse.rdf4j+rdf4j-filename:pom.xml,master,0,0,225,225,274
466152112/HappyResearch,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,3,2,88,1644,1640
52North/CSWLoDEnabler,org.apache.jena+jena-filename:pom.xml,master,5,3,933,1428,2143
52North/GeoprocessingAppstore,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,9,4,496,1317,1386
52North/OpenSensorSearch,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,11,8,503,1295,2187
67Bricks/virtuoso-jena-test,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,1605,1605,1605
90arslan/newRepo,org.apache.jena+jena-jdbc-driver-remote-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.aksw.jena-sparql-api+jena-sparql-api-core-filename:pom.xml & org.aksw.jena-sparql-api+jena-sparql-api-cache-h2-filename:pom.xml & org.apache.jena+jena-core-filename:pom.xml & org.aksw.jena-sparql-api+jena-sparql-api-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,371,371,371
99soft/be3,org.openrdf.sesame+sesame-filename:pom.xml,master,1,1,422,422,2665
99soft/t2t,org.openrdf.sesame+sesame-filename:pom.xml,master,0,1,1055,2523,2986
a453414953/dgraph,org.apache.jena+jena-filename:pom.xml,master,0,0,391,391,391
a71993/csparqlpush,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-iri-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,1,0,1177,1121,1530
a806621313/INSA_4IF_WebSemantique,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,123,207,207
aaai2014sampld/SampLD,org.openrdf.sesame+sesame-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,1953,1953,1957
aahmeti/DBpedia-SUE,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,963,907,1092
aaronestrada/AviationSafety,org.eclipse.rdf4j+rdf4j-filename:pom.xml,master,0,0,790,790,790
aarthiis/Museeqa,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,2,512,775,771
aatma-me/QueryAPI,org.apache.jena+jena-filename:pom.xml,master,0,0,1167,979,1167
aatma-me/SemanticAPI,org.apache.jena+jena-text-filename:pom.xml & org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,0,0,649,649,1203
ab-10/Hawk,org.apache.jena+jena-filename:pom.xml,master,3,1,195,225,564
abargnesi/rdf-jena,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,1,1,1226,1099,1302
abbask/DiscoverOntology,org.apache.jena+jena-filename:pom.xml,master,0,0,114,105,520
abbask/OntologyComparing,org.apache.jena+jena-filename:pom.xml,master,0,0,97,97,97
abbask/OntologyDetail,org.apache.jena+jena-filename:pom.xml,master,0,0,100,100,100
abbask/OntologyTesting,org.apache.jena+jena-filename:pom.xml,master,0,0,82,82,100
abbask/RemoteJena,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-iri-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,97,97,113
abbask/SPINExercise,org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,71,71,97
abcdeffree/vnptlib,com.hp.hpl.jena+jena-filename:pom.xml,master,0,0,1537,1537,1537
abcosmi/FindMyDestiny,org.apache.jena+jena-filename:pom.xml,master,0,0,191,191,247
AbeJellinek/PDFData,org.apache.jena+jena-extension:gradle,master,7,2,597,806,1447
abhay123lp/dspace-sandbox,org.openrdf.sesame+sesame-filename:pom.xml,master,0,0,1243,1243,1243
abhishek5000/premon,org.openrdf.sesame+sesame-filename:pom.xml,master,0,0,695,695,695
abhishekmishra/learning-knowledge-base,org.apache.jena+jena-filename:pom.xml,master,0,0,755,754,755
ABI-Team-30/Fresnel-Forms,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,3,1,1028,1249,1697
ableasdale/jena-base,org.apache.jena+jena-arq-extension:gradle & org.apache.jena+jena-extension:gradle,master,0,0,1179,1179,1179
