repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
0xffea/snippet-tool,net.sf.saxon+saxon-filename:pom.xml,master,1,0,2062,2777,2777
100101Ed/hybrid-framework,net.sf.saxon+saxon-filename:pom.xml & net.sf.saxon+Saxon-HE-filename:pom.xml & net.sourceforge.saxon+saxon-filename:pom.xml,master,0,0,1236,1229,1236
1005658368/springCloudCrm,net.sf.saxon+saxon-filename:pom.xml,master,0,0,153,153,167
10114395/android-5.0.0_r5,net.sf.saxon+saxon-filename:build.xml,master,2,2,147,1532,1532
102244653/AppiumTestByStep,net.sf.saxon+saxon-filename:pom.xml,master,0,0,110,110,278
1073071180/all_6player,net.sf.saxon+saxon-filename:pom.xml,master,0,0,50,50,55
10moreira/ZendFramework1.12.18Full,net.sf.saxon+saxon-filename:build.xml,master,0,0,1117,1117,1117
12010994/VV-TP3,net.sf.saxon+saxon-filename:pom.xml & net.sourceforge.saxon+saxon-filename:pom.xml,master,0,0,1706,1703,1706
13361997280/mstrunk_new,net.sf.saxon+saxon-filename:pom.xml & net.sf.saxon+Saxon-HE-filename:pom.xml & net.sourceforge.saxon+saxon-filename:pom.xml,master,0,0,482,482,482
1337135232/webmagic,net.sf.saxon+saxon-filename:pom.xml & net.sf.saxon+Saxon-HE-filename:pom.xml & net.sourceforge.saxon+saxon-filename:pom.xml,master,0,0,912,912,912
1394852162/manager,net.sf.saxon+saxon-filename:pom.xml & net.sourceforge.saxon+saxon-filename:pom.xml,master,0,1,440,434,498
1438249112/CopyOfSmooks,net.sf.saxon+saxon-filename:pom.xml & net.sf.saxon+Saxon-HE-filename:pom.xml,master,0,0,829,829,829
14dtj/code-convention-robot,net.sf.saxon+saxon-filename:pom.xml & net.sf.saxon+Saxon-HE-filename:pom.xml & net.sourceforge.saxon+saxon-filename:pom.xml,master,2,0,79,79,141
1555/toolkit,net.sf.saxon+saxon-filename:build.xml,master,0,0,1238,2173,2173
